Indicators,Values
market_cap(in Cr.),1620009.48
enterprise_value (    in Cr.),1779021.48
no_of_shares (in Cr.),676.61
pe_ratio,37.56
pb_ratio,3.28
face_value,10
div_yield,50.27
book_value (in Rs.),56811
cash(in Cr.),56811
debt (in Cr.),215823
promoter_holding(%),27
sales_growth(%),25.1
roe(%),9.05
roce(%),9.81
