,company_link,company_name
60,https://www.moneycontrol.com/india/stockpricequote/bearings/abcbearings/ABC02,abcbearings
61,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/abcgasinternational/BE05,abcgasinternational
62,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/abcindia/ABC,abcindia
63,https://www.moneycontrol.com/india/stockpricequote/plastics/abcoplastics/AP17,abcoplastics
64,https://www.moneycontrol.com/india/stockpricequote/computershardware/abeeprinterribbons/APR01,abeeprinterribbons
65,https://www.moneycontrol.com/india/stockpricequote/abesc/abesc/BI19,abesc
66,https://www.moneycontrol.com/india/stockpricequote/retailing/adityabirlafashionretailpp1/ABF02,adityabirlafashionretailpp1
67,https://www.moneycontrol.com/india/stockpricequote/shipping/abgshipyard/ABG01,abgshipyard
68,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abhijittradingcompany/ATC01,abhijittradingcompany
69,https://www.moneycontrol.com/india/stockpricequote/abhinavcapital/abhinavcapitalservices/ACS04,abhinavcapitalservices
70,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abhinavleasingfinance/ALF03,abhinavleasingfinance
71,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/abhishekcorporation/AC22,abhishekcorporation
72,https://www.moneycontrol.com/india/stockpricequote/abhishekfinle/abhishekfinlease/AF32,abhishekfinlease
73,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abhishekinfraventures/AI73,abhishekinfraventures
74,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abhishekintegrations/AI83,abhishekintegrations
75,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abiramifinancialservicesindia/AFS,abiramifinancialservicesindia
76,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ablbiotechnologies/ABL,ablbiotechnologies
77,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abminternational/ABM02,abminternational
78,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/abmknowledgeware/ABM,abmknowledgeware
79,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/abngranites/ABN,abngranites
80,https://www.moneycontrol.com/india/stockpricequote/abnintercorp/abnintercorpltd/AIL06,abnintercorpltd
81,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abnerpharma/AP01,abnerpharma
82,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/adityabirlasunlifeamc/ABS,adityabirlasunlifeamc
83,https://www.moneycontrol.com/india/stockpricequote/absln50etf/adityabirlasunlifenifty50etf/BSL03,adityabirlasunlifenifty50etf
84,https://www.moneycontrol.com/india/stockpricequote/etf/adityabirlasunlifeniftyhealthcareetf/ABS02,adityabirlasunlifeniftyhealthcareetf
85,https://www.moneycontrol.com/india/stockpricequote/abslsilveretf/adityabirlasunlifesilveretf/ABS04,adityabirlasunlifesilveretf
86,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abslliquid/ABSLL14518,abslliquid
87,https://www.moneycontrol.com/india/stockpricequote/abslnbanketf/adityabirlasunlifeniftybanketf/ABSLB13987,adityabirlasunlifeniftybanketf
88,https://www.moneycontrol.com/india/stockpricequote/abslnn50et/adityabirlasunlifeniftynext50etf/ABSLN7339,adityabirlasunlifeniftynext50etf
89,https://www.moneycontrol.com/india/stockpricequote/abslspbsesetf/adityabirlasunlifespbsesensexetf/ABS01,adityabirlasunlifespbsesensexetf
90,https://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,acc
91,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accedere/EM01,accedere
92,https://www.moneycontrol.com/india/stockpricequote/computershardware/accel/AT17,accel
93,https://www.moneycontrol.com/india/stockpricequote/software/acceleratebsindia/AI86,acceleratebsindia
94,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accelyasolutionsindia/KAL,accelyasolutionsindia
95,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/accentmicrocell/AML06,accentmicrocell
96,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accentiatechnologies/AT19,accentiatechnologies
97,https://www.moneycontrol.com/india/stockpricequote/packaging/acclaimindustries/EP12,acclaimindustries
98,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/accordsynergy/AS22,accordsynergy
99,https://www.moneycontrol.com/india/stockpricequote/shipping/accuracyshipping/AS26,accuracyshipping
100,https://www.moneycontrol.com/india/stockpricequote/trading/accurateexports/AE12,accurateexports
101,https://www.moneycontrol.com/india/stockpricequote/electricequipment/accuratetransformers/ATL03,accuratetransformers
102,https://www.moneycontrol.com/india/stockpricequote/diversified/aceedutrend/AIF,aceedutrend
103,https://www.moneycontrol.com/india/stockpricequote/aceeng/aceengitech/PSF,aceengitech
104,https://www.moneycontrol.com/india/stockpricequote/misccommercialservices/aceintegratedsolutions/AIS,aceintegratedsolutions
105,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/acelaboratories/AL01,acelaboratories
106,https://www.moneycontrol.com/india/stockpricequote/trading/acemenenggworkslimited/AME03,acemenenggworkslimited
107,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/acesoftwareexports/ASE02,acesoftwareexports
108,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/acesoftware/AS23,acesoftware
109,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/acestonecraft/ASL02,acestonecraft
110,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/acetoursworldwide/ATW,acetoursworldwide
111,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/acewinagriteck/INE02,acewinagriteck
112,https://www.moneycontrol.com/india/stockpricequote/acgl/automobilecorpgoaacgl/ACG,automobilecorpgoaacgl
113,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/achalinvestments/AI68,achalinvestments
114,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/achyuthealthcare/AH09,achyuthealthcare
115,https://www.moneycontrol.com/india/stockpricequote/computershardware/aciinfocom/ACI07,aciinfocom
116,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/acilcottonindustries/ACI14,acilcottonindustries
117,https://www.moneycontrol.com/india/stockpricequote/acjlascadbsvdj/acjlascadbsvdj/BCI04,acjlascadbsvdj
118,https://www.moneycontrol.com/india/stockpricequote/diversified/acjscbanan/GG04,acjscbanan
119,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/acknitindustriesltd/AK,acknitindustriesltd
120,https://www.moneycontrol.com/india/stockpricequote/acmasnvadndcnd/acmasnvadndcnd/CI16,acmasnvadndcnd
121,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/acmefluoropolymers/AFP01,acmefluoropolymers
122,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/acmeindustries/AI02,acmeindustries
123,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/acmeresources/AR9,acmeresources
124,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/acmespinners/ASL01,acmespinners
125,https://www.moneycontrol.com/india/stockpricequote/aquaculture/acquaintexports/AE,acquaintexports
126,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/acropetaltechnologies/AT21,acropetaltechnologies
127,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/acrowindia/AI03,acrowindia
128,https://www.moneycontrol.com/india/stockpricequote/sugar/acscmsdvnsdvinananiaspcmaso/PSI01,acscmsdvnsdvinananiaspcmaso
129,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/actionconstructionequipment/ACE3,actionconstructionequipment
130,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/actionfinancialservicesindia/AFS01,actionfinancialservicesindia
131,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/activeclothingcoltd/ACC,activeclothingcoltd
132,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/acumentradinginvestments/ATI01,acumentradinginvestments
133,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/admanumfinance/AMF01,admanumfinance
134,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/adamcomsof/AC01,adamcomsof
135,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanienergysolutions/AT22,adanienergysolutions
136,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprisespartlypaidup/AEP,adanienterprisespartlypaidup
137,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,adanienterprises
138,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanigreenenergylimited/ADANI54145,adanigreenenergylimited
139,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS,adaniportsspecialeconomiczone
140,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanipower/AP11,adanipower
141,https://www.moneycontrol.com/india/stockpricequote/adanitotalgas/adanitotalgas/ADG01,adanitotalgas
142,https://www.moneycontrol.com/india/stockpricequote/consumerfood/adaniwilmar/AW,adaniwilmar
